feature,coefficient,abs_coefficient
cat__sector_FMCG / Foods / Agro,5.330622461166604,5.330622461166604
num__capex_effective,-3.6108432476835373,3.6108432476835373
num__debt_to_assets,3.322617898067948,3.322617898067948
num__revenue_volatility_3y,3.042512484453663,3.042512484453663
num__revenue,-2.944135753521242,2.944135753521242
num__tax_expense,-2.763709823980095,2.763709823980095
cat__sector_Pharma,-2.7376670344701672,2.7376670344701672
num__debt_to_equity,2.6685026722456913,2.6685026722456913
cat__sector_Textiles,-2.388241105781192,2.388241105781192
cat__sector_Travel / Hospitality,-2.3407395202097443,2.3407395202097443
num__pat_trend_3y,-2.334552750778239,2.334552750778239
num__free_cash_flow,2.0565704229023507,2.0565704229023507
num__debt_to_equity_trend_3y,1.880350747356803,1.880350747356803
num__roa_trend_3y,-1.8215891493762,1.8215891493762
num__asset_turnover,-1.410697593036402,1.410697593036402
num__pat_volatility_3y,-1.359495265388225,1.359495265388225
cat__sector_Media,-1.3399189775980032,1.3399189775980032
cat__sector_Engineering / Manufacturing,1.2793562463916635,1.2793562463916635
num__depreciation,-1.251696822688559,1.251696822688559
cat__sector_Real Estate,1.2341594836226009,1.2341594836226009
num__pat,-1.0745599231854677,1.0745599231854677
num__pat_yoy,-1.0730073390317787,1.0730073390317787
cat__sector_Logistics,1.072855427696367,1.072855427696367
num__roa,-1.0567461906414681,1.0567461906414681
num__altman_z_proxy,1.021972529580785,1.021972529580785
num__cfi,1.0120771607453058,1.0120771607453058
num__ebitda_yoy,0.9127611480261306,0.9127611480261306
cat__sector_Steel & Metals,-0.8871429704697914,0.8871429704697914
cat__sector_Gems & Jewellery,0.8603644587124023,0.8603644587124023
num__cfo,-0.8370372599204836,0.8370372599204836
num__cash_flow_to_debt,-0.7767007839913896,0.7767007839913896
num__revenue_trend_3y,0.7253301054274071,0.7253301054274071
num__total_borrowings_yoy,-0.7186734179916872,0.7186734179916872
num__cfo_yoy,-0.7084424051143853,0.7084424051143853
cat__sector_Travel / Aviation,-0.6570173945244571,0.6570173945244571
num__opinion_present_flag,0.6454233543419698,0.6454233543419698
num__incorporation_year,0.6065434681481167,0.6065434681481167
num__promoter_holding_pct_missing,-0.601687798907198,0.601687798907198
num__contingent_liability_unknown,-0.5963124998573003,0.5963124998573003
num__cfo_margin,0.5911767809267032,0.5911767809267032
num__cfo_volatility_3y,-0.5901591213900691,0.5901591213900691
num__cfo_trend_3y,-0.5655454710583829,0.5655454710583829
num__roa_yoy,0.5210624039775542,0.5210624039775542
cat__sector_Infrastructure,-0.5116253136696531,0.5116253136696531
num__interest_coverage,0.4766181883506318,0.4766181883506318
cat__sector_Travel / Aviation / Hospitality,0.4539784066286632,0.4539784066286632
num__interest_expense,0.35065076203920914,0.35065076203920914
num__net_cash_change,-0.32605792588962595,0.32605792588962595
num__current_ratio_trend_3y,0.29252327227754626,0.29252327227754626
num__cash_ratio,0.27852877132542375,0.27852877132542375
num__current_liabilities_to_assets,-0.18840661932186678,0.18840661932186678
num__receivables_turnover,0.1410252483196128,0.1410252483196128
cat__sector_Cement,0.13234874301867539,0.13234874301867539
num__current_assets,0.13216803031916347,0.13216803031916347
num__net_profit_margin_trend_3y,-0.12474376115033191,0.12474376115033191
num__net_profit_margin_volatility_3y,0.11781569683270185,0.11781569683270185
cat__sector_FMCG / Foods,-0.1165229275256665,0.1165229275256665
num__inventory,0.11263721743762314,0.11263721743762314
cat__sector_IT / Services,-0.10816907561824302,0.10816907561824302
num__auditor_name_present_flag,0.10587507451139326,0.10587507451139326
num__receivables,0.10262009195563296,0.10262009195563296
num__is_latest_observation,0.09441353723767887,0.09441353723767887
num__revenue_yoy,0.09425244513038426,0.09425244513038426
num__current_ratio,-0.09199519789165612,0.09199519789165612
num__contingent_to_networth_ratio,-0.08688463867793567,0.08688463867793567
num__going_concern_uncertainty_unknown,-0.08510253459945841,0.08510253459945841
num__quick_ratio,-0.07800460626766384,0.07800460626766384
num__roa_volatility_3y,0.07559596282427147,0.07559596282427147
num__cash_and_equivalents,0.0668367928176891,0.0668367928176891
num__net_profit_margin_yoy,0.06390202222983851,0.06390202222983851
cat__sector_Oil & Gas / Energy,0.05853979064672416,0.05853979064672416
cat__sector_NBFC / Leasing,0.04679220481015471,0.04679220481015471
num__emphasis_of_matter_flag,0.04276655163215306,0.04276655163215306
num__cff,0.041814526441098725,0.041814526441098725
num__relative_year_from_latest,-0.04117776836183354,0.04117776836183354
num__working_capital,-0.0408487729228539,0.0408487729228539
num__current_ratio_volatility_3y,-0.034176650783702606,0.034176650783702606
num__current_ratio_yoy,0.03367758879880444,0.03367758879880444
num__net_profit_margin,0.01898671603546221,0.01898671603546221
cat__sector_Shipbuilding,-0.00014208117134803348,0.00014208117134803348
cat__sector_Oil & Gas,1.1061212348180307e-05,1.1061212348180307e-05
cat__sector_Mining,1.2858087468269394e-06,1.2858087468269394e-06
